WASH7P,MIR6859-1,CICP27,AL627309.7,AL627309.8,AL627309.5,FO538757.2,FO538757.1,AP006222.1,AL732372.2,AL669831.3,MTND1P23,MTND2P28,MTCO1P12,MTCO2P12,MTATP8P1,MTATP6P1,MTCO3P12,CICP3,AL669831.1
ZNF662,FAM198A,POMGNT2,AC092042.1,SNRK,SNRK-AS1,ANO10,AC097638.1,ABHD5,AC006058.3,AC006058.4,AC006058.1,TCAIM,LINC00694,LINC01988,ZNF445,ZNF852,ZKSCAN7,AC099669.1,ZNF660
MPRIPP1,ZNF197,ZNF197-AS1,ZNF35,AC124045.1,ZNF502,ZNF501,KIAA1143,KIF15,TMEM42,TGM4,ZDHHC3,RPL12P44,EXOSC7,CLEC3B,CDCP1,RPS24P8,TMEM158,LARS2,LIMD1
LIMD1-AS1,SACM1L,RN7SL145P,AC098476.1,SLC6A20,LZTFL1,CCR9,FYCO1,CXCR6,XCR1,CCR3,CCR1,CCR2,AC098613.1,CCR5,CCRL2,LINC02009,LTF,LRRC2,LRRC2-AS1
TDGF1,ALS2CL,TMIE,PRSS50,PRSS46,PRSS44,PRSS42,MYL3,PTH1R,AC109583.2,CCDC12,NBEAL2,NRADDP,SETD2,KIF9-AS1,KIF9,KLHL18,AC104447.1,AC099778.1,PTPN23
SCAP,AC099778.2,ELP6,BOLA2P2,CSPG5,SMARCC1,AC112512.1,DHX30,MAP4,AC124916.1,CDC25A,NDUFB1P1,CAMP,ZNF589,MRPS18AP1,Y_RNA,NME6,FBXW12,PLXNB1,CCDC51
TMA7,ATRIP,SHISA5,PFKFB4,UCN2,COL7A1,UQCRC1,TMEM89,SLC26A6,CELSR3,CELSR3-AS1,AC141002.1,NCKIPSD,IP6K2,PRKAR2A,PRKAR2A-AS1,SLC25A20,ARIH2OS,ARIH2,AC137630.2
AC137630.1,P4HTM,WDR6,DALRD3,NDUFAF3,IMPDH2,AC137630.3,QRICH1,QARS,USP19,LAMB2,AC135506.1,CCDC71,KLHDC8B,CCDC36,AC121247.1,C3orf62,USP4,GPX1,RHOA
RHOA-IT1,TCTA,AMT,DAG1,BSN-AS2,BSN,APEH,MST1,RNF123,GMPPB,IP6K1,CDHR4,FAM212A,UBA7,TRAIP,CAMKV,ACTBP13,MST1R,AC105935.1,MON1A
RBM6,RBM5,RBM5-AS1,SEMA3F-AS1,SEMA3F,GNAT1,SLC38A3,GNAI2,U73169.1,U73166.1,SEMA3B-AS1,SEMA3B,LSMEM2,IFRD2,HYAL3,NAT6,HYAL1,HYAL2,TUSC2,RASSF1
ZMYND10,NPRL2,CYB561D2,TMEM115,CACNA2D2,CYB561D2,C3orf18,HEMK1,CISH,MAPKAPK3,LINC02019,DOCK3,MANF,RBM15B,DCAF1,RAD54L2,TEX264,GRM2,RRP9,PARP3
AC115284.2,GPR62,PCBP4,ABHD14B,ABHD14A,ABHD14A-ACY1,ACY1,RPL29,DUSP7,POC1A,ALDOAP1,ALAS1,AC097637.2,TLR9,TWF2,AC006252.1,PPM1M,WDR82,GLYCTK,GLYCTK-AS1
