WASH7P,MIR6859-1,CICP27,AL627309.7,AL627309.8,AL627309.5,FO538757.2,FO538757.1,AP006222.1,AL732372.2,AL669831.3,MTND1P23,MTND2P28,MTCO1P12,MTCO2P12,MTATP8P1,MTATP6P1,MTCO3P12,CICP3,AL669831.1
LAG3,CD4,GPR162,P3H3,GNB3,CDCA3,USP5,TPI1,SPSB2,RPL13P5,LRRC23,DSTNP2,U47924.3,ENO2,ATN1,C12orf57,U47924.2,PTPN6,MIR200CHG,U47924.1
PHB2,EMG1,LPCAT3,C1S,AC006512.1,C1R,C1RL,C1RL-AS1,RBP5,AC018653.3,CLSTN3,PEX5,ACSM4,CD163L1,AC131206.1,CD163,GDF3,CLEC4C,NANOG,SLC2A14
NANOGP1,SLC2A3,AC006511.2,FOXJ2,C3AR1,NECAP1,AC006511.3,AC006511.5,CLEC4A,POU5F1P3,FAM66C,DEFB109F,AC092111.2,AC092111.1,FAM90A1,ALG1L10P,FAM86FP,LINC02449,ENPP7P5,LINC00937
AC092745.2,RPS3AP43,CLEC6A,AC092865.4,CLEC4D,CLEC4E,AICDA,HADHAP2,MFAP5,RIMKLB,AC092490.1,A2ML1,AC006581.2,PHC1,M6PR,KLRG1,HNRNPA1P34,LINC00612,A2M-AS1,A2M
KRT17P8,BTG1P1,PZP,TPT1P12,A2MP1,MIR1244-3,PTMAP4,LINC00987,AC010175.1,AC009533.1,AC009533.2,LINC02367,AC141557.1,AC141557.2,DDX12P,AC092821.3,AC092821.1,AC092821.2,KLRB1,GOT2P3
AC010186.1,AC010186.2,AC010186.3,CLEC2D,LINC02390,CLECL1,CD69,KLRF1,CLEC2B,LINC02470,CLEC12A-AS1,CLEC12A,CLEC1B,CLEC12B,CLEC9A,CLEC1A,HNRNPABP1,CLEC7A,OLR1,TMEM52B
GABARAPL1,KLRD1,AC022075.2,AC022075.1,KLRK1,KLRC4-KLRK1,KLRC4,KLRC3,KLRC2,KLRC1,AC068775.1,LINC02446,KLRA1P,MAGOHB,STYK1,YBX3,PRH1,TAS2R10,AC006518.1,PRR4
AC006518.2,TAS2R13,PRH2,TAS2R14,TAS2R15P,TAS2R50,TAS2R20,TAS2R19,TAS2R31,AC018630.2,TAS2R43,TAS2R30,AC134349.2,SMIM10L1,PRB3,DDX55P1,LINC01252,ETV6,BCL2L14,AC007537.1
MIR1244-4,LRP6,AC007537.2,MANSC1,RPL23AP66,LOH12CR2,BORCS5,DUSP16,AC007619.1,CREBL2,RPL21P136,AC008115.4,GPR19,CDKN1B,AC008115.3,APOLD1,DDX47,AC007688.1,RPL13AP20,GPRC5A
GPRC5D-AS1,GPRC5D,SNORD88,HEBP1,HTR7P1,AC023790.2,FAM234B,GSG1,EMP1,LINC01559,GRIN2B,AC092112.1,RPL30P11,ATF7IP,PLBD1,AC008114.1,PLBD1-AS1,GUCY2C,AC010168.1,AC010168.2
HIST4H4,H2AFJ,WBP11,C12orf60,SMCO3,ART4,MGP,ERP27,ARHGDIB,LINC01489,RERG,RERG-IT1,PTPRO,EPS8,STRAP,DERA,MGST1,SUPT16HP1,LMO3,AC007552.2
AC007529.2,AC023512.1,EEF1A1P16,RERGL,PIK3C2G,PSMC1P9,RPL7P6,PLEKHA5,AC092828.1,RN7SL67P,AEBP2,PDCD5P1,EEF1A1P4,AC024901.1,TCP1P3,PDE3A,AC112777.1,SLCO1C1,SLCO1B3,SLCO1A2
PYROXD1,RECQL,GOLT1B,SPX,LDHB,KCNJ8,ABCC9,AC092862.1,CMAS,ST8SIA1,AC007671.1,C2CD5,AC053513.1,AC087241.1,AC087241.3,ETNK1,AC084816.1,SOX5,BCAT1,AC026310.3
AC026310.2,LRMP,AC023510.2,CASC1,ETFRF1,KRAS,AC092794.1,AC092794.2,AC087239.1,LMNTD1,TDGP1,RASSF8-AS1,RASSF8,BHLHE41,SSPN,AC022509.3,AC022509.2,AC022509.1,AC022509.4,AC024145.1
ITPR2,AC023051.1,INTS13,FGFR1OP2,AC024896.1,TM7SF3,MED21,AC092747.4,C12orf71,AC092747.2,STK38L,ARNTL2,SMCO2,PPFIBP1,AC087257.1,AC087257.2,AC009509.1,REP15,AC009509.4,HMGB1P49
MRPS35,Y_RNA,MANSC4,KLHL42,PTHLH,CCDC91,AC022364.1,AC022079.2,AC022079.1,AC084754.1,AC012150.1,FAR2,AC009318.4,AC009318.1,AC009318.3,AC009318.2,ERGIC2,OVCH1-AS1,OVCH1,TMTC1
IPO8,CAPRIN2,AC010198.1,TSPAN11,AC008013.1,DDX11-AS1,DDX11,AC024940.1,AC024940.2,AC024940.5,FAM60A,FLJ13224,LINC02387,DENND5B,AC068792.1,DENND5B-AS1,AK4P3,ETFBKMT,AMN1,STMN1P1
AC023157.3,AC023157.1,H3F3C,LINC02422,RPL12P32,KIAA1551,AC016957.2,BICD1,AC048344.4,AC026356.1,AC026356.2,FGD4,DNM1L,AC084824.5,AC084824.1,YARS2,AC084824.3,AC084824.4,PKP2,AC087588.2
SYT10,ALG10,AC046130.2,AC140847.2,DUX4L27,ALG10B,CPNE8,AC067735.1,KIF21A,ABCD2,SLC2A13,LINC02555,LINC02471,AC079630.1,LRRK2,MUC19,CNTN1,PDZRN4,GXYLT1,YAF2
PPHLN1,ZCRB1,AC079684.1,AC079601.2,PRICKLE1,AC079601.1,RPS27P21,LINC02450,ADAMTS20,EEF1A1P17,PUS7L,AC093012.1,IRAK4,TWF1,TMEM117,NELL2,DBX2,PLEKHA8P1,ANO6,AC079950.1
AC008124.1,ARID2,AC009464.1,KNOP1P2,SCAF11,SLC38A1,SLC38A2,AC025031.2,AC008014.1,AC025031.4,AC025031.5,AC008035.1,SLC38A4,AC079906.1,AMIGO2,PCED1B,AC119044.1,PCED1B-AS1,AC008083.1,AC008083.3
AC008083.2,LINC02416,LINC02156,AC004486.1,RPAP3,AC004241.3,AC004241.1,ENDOU,AC004241.5,AC004241.2,RAPGEF3,SLC48A1,AC004241.4,HDAC7,AC004466.1,AC004466.3,AC004466.2,LINC02354,VDR,AC121338.1
AC121338.2,TMEM106C,COL2A1,AC004801.6,SENP1,AC004801.2,AC004801.1,PFKM,ASB8,AC074029.3,CCDC184,AC024257.3,OR10AD1,H1FNT,ZNF641,AC090115.1,OR5BK1P,AC024257.4,OR8T1P,ANP32D
C12orf54,KANSL2,SNORA2C,SNORA2A,CCNT1,ADCY6,MIR4701,AC117498.2,AC117498.3,CACNB3,DDX23,RND1,AC073610.1,CCDC65,FKBP11,ARF3,WNT10B,WNT1,DDN,DDN-AS1
PRKAG1,KMT2D,RHEBL1,DHH,LMBR1L,TUBA1B,AC011603.2,TUBA1A,TUBA1C,AC010173.1,AC125611.4,PRPH,TROAP,C1QL4,DNAJC22,SPATS2,AC125611.2,AC125611.1,KCNH3,MCRS1
PRPF40B,AC020612.3,FAM186B,RNU6-834P,POLR2KP1,AC020612.1,FMNL3,TMBIM6,NCKAP5L,BCDIN3D-AS1,BCDIN3D,FAIM2,LINC02395,AQP2,AC025154.2,AQP5,AQP6,RACGAP1,ASIC1,SMARCD1
GPD1,COX14,AC074032.1,CERS5,LIMA1,AC008147.2,AC008147.3,AC008147.1,AC008147.4,FAM186A,AC090058.1,LARP4,DIP2B,Y_RNA,AC013244.1,ATF1,TMPRSS12,METTL7A,AC008121.2,SLC11A2
LETMD1,CSRNP2,TFCP2,PHBP19,Y_RNA,POU6F1,AC139768.1,DAZAP2,SMAGP,BIN2,CELA1,GALNT6,SLC4A8,SCN8A,HNRNPA3P10,AC068987.5,AC068987.3,FIGNL2,AC068987.1,ANKRD33
ACVRL1,ACVR1B,RNU6-574P,GRASP,NR4A1,AC025259.3,ATG101,OR7E47P,AC078864.1,LINC00592,KRT80,KRT7,KRT7-AS,KRT86,KRT87P,KRT81,AC121757.1,KRT83,KRT89P,KRT75
KRT6B,KRT6C,KRT6A,KRT5,KRT72,KRT2,KRT1,AC055716.2,KRT3,KRT4,KRT79,KRT78,KRT8,KRT18,EIF4B,AC068888.2,AC068888.1,TNS2,SPRYD3,IGFBP6
SOAT2,HIGD1AP1,EIF4A1P4,CSAD,ZNF740,ITGB7,RARG,MFSD5,ESPL1,PFDN5,C12orf10,AAAS,SP7,SP1,AMHR2,PRR13,PCBP2,PCBP2-OT1,MAP3K12,AC023509.4
TARBP2,AC023509.3,ATF7,AC023509.5,ATP5G2,CALCOCO1,HOXC13-AS,HOXC13,HOXC12,HOTAIR,HOXC11,HOXC-AS3,HOXC10,HOXC6,HOXC-AS2,HOXC9,HOXC-AS1,HOXC8,HOXC4,AC012531.1
HOXC5,FLJ12825,AC023794.3,AC023794.2,LINC01598,SMUG1,LINC02381,AC023794.5,AC023794.4,AC023794.1,CBX5,AC078778.1,AC078778.2,HNRNPA1,NFE2,COPZ1,AC079313.2,AC079313.1,GPR84,ZNF385A
ITGA5,GTSF1,NCKAP1L,PDE1B,PPP1R1A,MUCL1,TESPA1,PHC1P1,METTL7B,ITGA7,AC009779.3,BLOC1S1,RDH5,CD63,AC009779.2,Metazoa_SRP,AC009779.1,GDF11,SARNP,AC023055.1
AC073487.1,ORMDL2,DNAJC14,TMEM198B,MMP19,OLA1P3,PYM1,DGKA,AC025162.2,PMEL,CDK2,RAB5B,AC034102.1,SUOX,IKZF4,AC034102.8,AC034102.3,RPS26,ERBB3,PA2G4
RPL41,ZC3H10,ESYT1,AC034102.6,AC034102.5,MYL6B,MYL6,AC073896.4,SMARCC2,RNF41,NABP2,SLC39A5,ANKRD52,COQ10A,CS,AC073896.2,AC073896.3,CNPY2,PAN2,IL23A
STAT2,RNU7-40P,APOF,AC024884.2,AC024884.1,TIMELESS,MIP,SPRYD4,GLS2,HSPD1P4,RBMS2,RNU6-343P,BAZ2A,ATP5B,SNORD59A,PTGES3,RN7SL809P,NACA,PRIM1,HSD17B6
AC121758.1,SDR9C7,RDH16,AC026120.1,GPR182,ZBTB39,TAC3,MYO1A,NEMP1,NAB2,STAT6,LRP1,LRP1-AS,NXPH4,SHMT2,NDUFA4L2,STAC3,R3HDM2,AC126614.1,INHBC
INHBE,GLI1,ARHGAP9,MARS,DDIT3,MIR616,MBD6,DCTN2,KIF5A,PIP4K2C,DTX3,ARHGEF25,AC025165.1,SLC26A10,B4GALNT1,RPL13AP23,OS9,AGAP2,AGAP2-AS1,TSPAN31
CDK4,MARCH9,CYP27B1,METTL1,EEF1AKMT3,TSFM,AVIL,AC025165.5,AC025165.4,CTDSP2,AC083805.2,AC083805.1,AC084033.3,ATP23,AC084033.1,LINC02388,LRIG3,AC068305.3,AC068305.1,SLC16A7
AC079905.1,FAM19A2,RPS3P6,USP15,RNU6-595P,Metazoa_SRP,MON2,AC079035.1,LINC01465,AC048341.2,AC048341.3,PPM1H,AC048341.1,GAPDHP44,AC078814.1,AVPR1A,AC135584.1,DPY19L2,AC084357.2,TMEM5
PABPC1P4,SRGAP1,C12orf66,AC012158.1,C12orf56,AC135279.2,XPOT,AC135279.1,AC135279.3,TBK1,RASSF3,AC078962.1,AC025262.2,GNS,TBC1D30,LINC02389,WIF1,LEMD3,AC026124.2,MSRB3
AC025419.1,LINC02454,RPSAP52,HMGA2,AC090673.1,RPL21P18,LLPH,LLPH-AS1,TMBIM4,IRAK3,RBMS1P1,HELB,GRIP1,GGTA2P,CAND1,MRPL40P1,LINC02408,DYRK2,AC078777.1,LINC02421
LINC01479,IFNG-AS1,IFNG,IL26,MDM1,LINC02384,AC008033.3,AC008033.1,RPSAP12,RAP1B,RPL10P12,ATP5HP4,AC090061.1,NUP107,KRT8P39,SLC35E3,MDM2,AC025423.1,CPM,CPSF6
C1GALT1P1,AC020656.2,LYZ,YEATS4,RPS26P45,LINC02373,FRS2,CCT2,BEST3,AC025263.1,RAB3IP,MYRFL,LINC01481,CNOT2,AC092881.1,KCNMB4,AC025569.1,PTPRB,PTPRR,AC025575.2
TSPAN8,LGR5,AC078860.1,ZFC3H1,THAP2,TMEM19,RAB21,TBC1D15,AC089984.2,TPH2,TRHDE,TRHDE-AS1,AC090502.1,ATXN7L3B,CAPS2,AC121761.2,GLIPR1L1,GLIPR1L2,GLIPR1,AC121761.1
KRR1,AC078923.1,RPL10P13,AC078820.1,PHLDA1,NAP1L1,AC011611.5,LINC02407,BBS10,OSBPL8,AC107032.2,RPL7AP9,AC107032.1,AC093014.1,ZDHHC17,CSRP2,AC025161.1,E2F7,NAV3,SYT1
AC027288.3,AC027288.2,AC027288.1,NOP56P3,PAWR,AC073569.2,PPP1R12A,AC073569.3,AC073569.1,PPP1R12A-AS1,RPL7P38,AC078817.1,OTOGL,PTPRQ,LIN7A,ACSS3,PPFIA2,PPFIA2-AS1,CCDC59,METTL25
AC089998.3,AC089998.1,TMTC2,AC090680.1,SLC6A15,TSPAN19,LRRIQ1,ALX1,RASSF9,NTS,MGAT4C,AC079598.2,C12orf50,C12orf29,CEP290,AC091516.1,TMTC3,KITLG,AC024941.2,LINC02458
DUSP6,AC024909.3,AC010201.2,AC010201.1,POC1B,CENPCP1,GALNT4,POC1B-GALNT4,POC1B-AS1,AC025034.1,ATP2B1,ATP2B1-AS1,AC084200.1,AC126178.1,EPYC,KERA,LUM,DCN,AC025035.1,LINC01619
BTG1,AC025164.2,LINC02391,CLLU1OS,CLLU1,LINC02397,PLEKHG7,EEA1,AC026111.1,HNRNPA1P50,LINC02413,AC138123.2,AC138123.1,NACAP3,LINC02412,AC124947.2,AC124947.1,NUDT4,UBE2N,MRPL42
SOCS2-AS1,SOCS2,AC012085.1,CRADD,AC012085.2,AC012464.2,AC012464.1,AC012464.3,PLXNC1,AC123567.2,AC073655.1,AC073655.2,CEP83,RBMS2P1,CEP83-AS1,AC023161.2,SUCLG2P2,TMCC3,NDUFA12,NR2C1
FGD6,AC126615.1,VEZT,MIR331,MIR3685,AC018475.1,METAP2,USP44,PGAM1P5,NTN4,AC090001.1,SNRPF,CCDC38,AMDHD1,HAL,LTA4H,LINC02452,ELK3,CDK17,CFAP54
EEF1A1P33,NEDD1,RMST,AC007424.1,SLC9A7P1,LINC02453,TMPO-AS1,TMPO,AC013283.1,SLC25A3,SNORA53,IKBIP,APAF1,ANKS1B,RPS4XP1,AC126474.1,UHRF1BP1L,AC126474.2,AC010203.2,GOLGA2P5
AC010203.1,ACTR6,DEPDC4,SCYL2,SLC17A8,NR1H4,GAS2L3,AC010200.1,ANO4,AC063947.2,SLC5A8,UTP20,ARL1,AC063948.1,RPS27P23,SPIC,MYBPC1,AC010205.1,CHPT1,RNY1P16
SYCP3,GNPTAB,AC063950.1,HSPE1P4,DRAM1,AC084398.2,WASHC3,AC079907.1,NUP37,PARPBP,HELLPAR,IGF1,PAH,ASCL1,C12orf42,STAB2,AC025265.1,NT5DC3,TTC41P,HSP90B1
C12orf73,TDG,GLT8D2,AC078819.1,HCFC2,NFYB,TXNRD1,RPL18AP3,EID3,CHST11,SLC41A2,KRT18P20,C12orf45,ALDH1L2,WASHC4,APPL2,C12orf75,CASC18,AC011595.2,AC011595.3
NUAK1,CKAP4,AC079174.1,AC079174.2,TCP11L2,POLR3B,AC079385.1,RFX4,AC079385.2,AC079385.3,RIC8B,AC007541.1,TMEM263,MTERF2,CRY1,BTBD11,PWP1,AC007622.1,PRDM4,AC007622.2
ASCL4,AC126177.4,AC126177.6,AC126177.7,WSCD2,CMKLR1,FICD,SART3,ISCU,TMEM119,SELPLG,AC007569.1,CORO1C,SSH1,AC087893.1,DAO,SVOP,USP30,USP30-AS1,ALKBH2
UNG,AC007637.1,ACACB,FOXN4,MYO1H,AC007570.1,KCTD10,UBE3B,MMAB,MVK,FAM222A,FAM222A-AS1,TRPV4,GLTP,AC007834.2,RN7SL441P,TCHP,GIT2,AC084876.1,AC084876.2
ANKRD13A,C12orf76,AC007546.1,IFT81,ATP2A2,ANAPC7,AC144548.2,AC144548.1,ARPC3,GPN3,AC002350.1,FAM216A,VPS29,AC002350.2,RAD9B,PPTC7,TCTN1,HVCN1,PPP1CC,RPL29P25
MYL2,CUX2,FAM109A,LINC02356,HSPA8P14,SH2B3,ATXN2,AC137055.1,ATXN2-AS,BRAP,PCNPP1,ACAD10,ALDH2,MAPKAPK5-AS1,MAPKAPK5,AC003029.1,ADAM1B,TMEM116,SLC25A3P2,AC004024.1
ERP29,AC073575.2,NAA25,TRAFD1,HECTD4,AC004217.1,RPL6,PTPN11,RPH3A,OAS1,OAS3,OAS2,DTX1,RASAL1,CFAP73,Y_RNA,DDX54,Y_RNA,RITA1,IQCD
TPCN1,AC089999.3,SLC8B1,PLBD2,SDS,SDSL,LHX5,LINC01234,DYNLL1P4,RBM19,TBX5,TBX5-AS1,TBX3,AC026765.2,AC078880.3,UBA52P7,MED13L,AC012157.1,LINC02457,LINC00173
MAP1LC3B2,AC125603.4,AC125603.3,AC125603.2,C12orf49,RNFT2,AC090013.1,HRK,FBXW8,AC083806.2,AC127164.1,AC026368.1,TESC,FBXO21,NOS1,KSR2,RFC5,AC131159.2,WSB2,AC131159.1
VSIG10,PEBP1,TAOK3,AC026366.1,AC026367.1,SUDS3,AC026367.3,AC026367.2,SRRM4,HSPB8,AC084880.1,CCDC60,AC002070.1,TMEM233,PRKAB1,CIT,AC002563.1,BICDL1,RAB35,AC004812.2
GCN1,RPLP0,PXN-AS1,PXN,AC004263.2,NME2P1,RNU4-2,RNU4-1,SIRT4,PLA2G1B,MSI1,AC003982.1,COX6A1,TRIAP1,GATC,RPL31P52,SRSF9,DYNLL1,NRAV,AC063943.3
COQ5,AC063943.1,RNF10,POP5,AC125616.1,CABP1,MLEC,AC069234.5,AC069234.4,UNC119B,ACADS,AC069234.1,SPPL3,AC078875.1,RPL12P33,HNF1A-AS1,HNF1A,C12orf43,OASL,P2RX7
P2RX4,CAMKK2,ANAPC5,RNF34,KDM2B,AC145422.1,ORAI1,MORN3,TMEM120B,RHOF,LINC01089,AC084018.1,AC084018.2,SETD1B,HPD,PSMD9,AC069503.2,WDR66,BCL7A,AC156455.1
MLXIP,LRRC43,B3GNT4,DIABLO,VPS33A,CLIP1,RPL21P1,CLIP1-AS1,ZCCHC8,SNORA9,AC127002.1,RSRC2,KNTC1,AC026333.4,HCAR2,HCAR3,HCAR1,DENR,Y_RNA,CCDC62
HIP1R,VPS37B,AC027290.2,ABCB9,OGFOD2,ARL6IP4,PITPNM2,PITPNM2-AS1,AC026362.2,MPHOSPH9,AC073857.1,C12orf65,CDK2AP1,AC068768.2,SBNO1,AC137767.1,KMT5A,RILPL2,SNRNP35,RILPL1
AC145423.2,AC145423.3,AC055713.1,TMED2,DDX55,SNORA9B,EIF2B1,GTF2H3,AC117503.4,AC117503.3,TCTN2,ATP6V0A2,DNAH10,CCDC92,DNAH10OS,AC068790.7,AC068790.4,AC068790.3,AC068790.2,AC068790.5
AC068790.6,ZNF664,RFLNA,AC068790.1,AC068790.9,AC026358.1,NCOR2,AC073592.1,AC073592.3,AC073592.8,AC073592.2,SCARB1,UBC,AC093719.1,DHX37,BRI3BP,AACS,AC122688.3,TMEM132B,LINC00939
AC005858.1,AC005885.1,LINC00943,LINC00944,LINC02405,AC079949.1,AC079949.2,TMEM132C,SLC15A4,AC108704.2,AC108704.1,GLT1D1,TMEM132D,LINC02418,FZD10-AS1,FZD10,PIWIL1,RIMBP2,AC063926.3,STX2
AC073912.1,RAN,ADGRD1,LINC01257,AC126564.1,AC073578.1,SFSWAP,AC117500.3,MMP17,AC131009.2,ULK1,AC131009.4,AC131009.1,PUS1,AC131009.3,EP400,EP400NL,AC138466.5,DDX51,NOC4L
LINC02361,AC138466.1,GALNT9,AC148477.2,AC148476.1,FBRSL1,AC131212.3,AC131212.2,AC131212.1,LRCOL1,P2RX2,AC131212.4,POLE,PXMP2,PGAM5,ANKLE2,AC135586.1,GOLGA3,CHFR,AC127070.1
AC127070.5,AC127070.2,AC127070.3,ZNF605,ZNF26,AC073911.1,ZNF84,AC073911.3,ZNF140,ZNF891,RPL23AP67,ZNF10,ZNF268,None,None,None,None,None,None,None
AL356585.1,GGT4P,SETD8P1,TERF1P5,FAM207BP,SNX19P2,PSPC1P1,MRPL3P1,PARP4P2,TPTE2,CASC4P1,MPHOSPH8,PSPC1-AS2,PSPC1,ST6GALNAC4P1,ZMYM5,AL355001.1,AL355001.2,ZMYM2,KRR1P1
AL138688.2,GJA3,GJB2,GJB6,CRYL1,AL590096.1,IFT88,SLC35E1P1,RNU2-7P,AL161772.1,IL17D,AL512652.2,EEF1AKMT1,RANP8,AL512652.1,XPO4,HNRNPA1P30,RPSAP54,LATS2,RPS12P23
SAP18,SKA3,MRPL57,ESRRAP2,MIPEPP3,LINC00539,GRK6P1,GAPDHP52,ZDHHC20,ZDHHC20-IT1,MICU2,RPS7P10,FGF9,LINC00540,FTH1P7,LINC00621,NUS1P2,AL157931.1,SGCG,SACS
SACS-AS1,LINC00327,TNFRSF19,MIPEP,PCOTH,C1QTNF9B,ANKRD20A19P,SPATA13,SPATA13,IPO7P2,C1QTNF9,PARP4,ATP12A,RNF17,CENPJ,TPTE2P1,AL354798.1,RPL34P27,PABPC3,AMER2
MTMR6,AL590787.1,NUP58,ELOBP1,ATP8A2,SHISA2,RNF6,AL138966.2,CDK8,WASF3,RPS3AP44,GPR12,USP12,USP12-AS2,LINC02340,LINC00412,RPL21,RASL11A,GTF3A,MTIF3
LNX2,POLR1D,ATP5EP2,LINC00543,CDX2,FLT3,CHCHD2P8,PAN3-AS1,PAN3,EEF1A1P3,FLT1,AL139005.1,EIF4A1P7,POMP,SLC46A3,CYP51A1P2,MTUS2,GAPDHP69,MTUS2-AS1,SLC7A1
UBL3,LINC00544,LINC00365,AL157770.1,KATNAL1,PRDX2P1,LINC00427,LINC00426,AL356750.1,LINC01058,UBE2L5P,HMGB1,RBM22P2,MFAP1P1,PTPN2P2,USPL1,ALOX5AP,LINC00398,TEX26-AS1,MEDAG
HSPH1,B3GLCT,ANKRD26P4,AC002525.1,FRY-AS1,FRY,ZAR1L,BRCA2,IFIT1P1,N4BP2L1,N4BP2L2,N4BP2L2-IT2,PDS5B,AL138820.1,KL,STARD13,STARD13-AS,AL138999.1,AL139383.1,RFC3
AL161891.1,LINC02343,LINC00457,NBEA,PHBP13,MAB21L1,DCLK1,SOHLH2,CCDC169,SPART,SPG20-AS1,CCNA1,SERTM1,RFXAP,SMAD9,SMAD9-IT1,EIF4A1P5,ALG5,EXOSC8,SUPT20H
CSNK1A1L,AL356274.2,POSTN,TRPC4,LINC02334,LINC00571,UFM1,FREM2,STOML3,PROSER1,NHLRC3,AL354809.1,LHFPL6,COG6,LINC00598,FOXO1,RLIMP1,MRPS31,Metazoa_SRP,SLC25A15
TPTE2P5,CYCSP34,SUGT1P3,ELF1,RGS17P1,WBP4,KBTBD6,AL354696.2,CALM2P3,KBTBD7,MTRF1,AL354696.1,NAA16,TUBBP2,RGCC,VWA8,VWA8-AS1,DGKH,AL157932.1,MAPK6PS3
FHP1,AKAP11,LINC02341,TNFSF11,FAM216B,LINC01050,EPSTI1,DNAJC15,ENOX1,CCDC122,AL512506.1,LACC1,AL512506.2,LINC00284,DGKZP1,LINC00390,SMIM2-AS1,SMIM2,AL589745.1,AL138960.1
SERP2,TUSC8,TSC22D1,TSC22D1-AS1,SMARCE1P5,NUFIP1,GPALPP1,RN7SL49P,GTF2F2,AL138693.1,KCTD4,TPT1,SNORA31,TPT1-AS1,AL138963.1,SLC25A30,SLC25A30-AS1,COG3,ERICH6B,LINC01055
SPERT,SIAH3,ZC3H13,CPB2-AS1,CPB2,LCP1,LRRC63,RUBCNL,LINC01198,COX17P1,LRCH1,AL359880.1,ESD,HTR2A,NAP1L4P3,LINC00562,SUCLA2,SUCLA2-AS1,NUDT15,AL158196.1
MED4,MED4-AS1,ITM2B,LINC00441,RB1,PPP1R26P1,PCNPP5,AL392048.1,LPAR6,RCBTB2,AL157813.1,LINC00462,CYSLTR2,PSME2P2,AL161421.1,FNDC3A,COX7CP1,OGFOD1P1,MLNR,AL137000.1
CDADC1,CAB39L,SETDB2,SNRPGP14,PHF11,RCBTB1,ARL11,EBPL,KPNA3,AL136301.1,SPRYD7,DLEU2,TRIM13,KCNRG,DLEU1,RPL18P10,AL137060.1,ST13P4,DLEU7,RNASEH2B-AS1
RNASEH2B,GUCY1B2,FAM124A,SERPINE3,INTS6,INTS6-AS1,RPS4XP16,WDFY2,DHRS12,AL162377.1,LINC00282,CTAGE3P,ATP7B,FABP5P2,ALG11,NEK5,AL139082.1,NEK3,MRPS31P5,TPTE2P2
THSD1,VPS36,AL359513.1,CKAP2,LINC00345,AL137058.1,AL137058.2,MRPS31P4,HNRNPA1L2,AL139089.1,SUGT1,CNMD,PPIAP26,PCDH8,OLFM4,RPL13AP25,PCDH17,DIAPH3,TARDBPP2,TDRD3
LGMNP1,HNRNPA3P5,PCDH9,RPSAP53,NPM1P22,ZDHHC20P4,DACH1,H3F3BP1,RPL21P110,MZT1,BORA,DIS3,PIBF1,KLF5,FABP5P1,LINC00393,KLF12,LINC00402,LINC00381,CTAGE11P
TBC1D4,COMMD6,UCHL3,AL137782.1,LMO7-AS1,LMO7,AL137244.1,LMO7DN,KCTD12,AC000403.1,ACOD1,RPL7P44,DHX9P1,CLN5,AC001226.2,FBXL3,MYCBP2-AS1,AC001226.1,MYCBP2,SCEL
SLAIN1,EDNRB-AS1,EDNRB,RNF219-AS1,POU4F1,RNF219,CCT5P2,RBM26,RBM26-AS1,NDFIP2,LINC01068,AL158064.2,SPRY2,LINC00377,PTMAP5,SLITRK1,SLITRK6,MIR4500HG,SLITRK5,MIR17HG
GPC5,GPC6,DCT,TGDS,GPR180,SOX21,SOX21-AS1,ABCC4,RNY3P8,CLDN10,DZIP1,DNAJC3-AS1,DNAJC3,AL138955.1,UGGT2,HS6ST3,TULP3P1,OXGR1,MBNL2,RNA5SP37
RAP2A,AL442067.1,AL442067.2,IPO5,FARP1,STK24,STK24-AS1,SLC15A1,DOCK9,DOCK9-AS2,GAPDHP22,UBAC2-AS1,UBAC2,H2AFZP3,GPR18,GPR183,HMGB3P4,CCR12P,LINC01232,LINC00449
TM9SF2,CLYBL,ZIC5,ZIC2,ASNSP3,AL355338.1,PCCA,RPL15P18,PCCA-AS1,GGACT,AL356966.1,AL136526.1,RPS26P47,TMTC4,COX5BP6,NALCN-AS1,NALCN,ITGBL1,FGF14,FGF14-IT1
FGF14-AS2,AL158063.1,TPP2,CCDC168,TEX30,KDELC1,BIVM,ERCC5,METTL21EP,AL137246.1,LINC00460,EFNB2,AL138689.1,ARGLU1,LINC00551,FAM155A,AL445649.1,AL136964.1,LIG4,ABHD13
TNFSF13B,AL157762.1,MYO16,AL161431.1,IRS2,AL355974.2,AL390755.1,COL4A1,AL161773.1,COL4A2,COL4A2-AS2,COL4A2-AS1,RAB20,AL139385.1,NAXD,CARS2,ING1,LINC00567,LINC00346,ANKRD10
ANKRD10-IT1,AL442128.2,PARP1P1,LINC00431,ARHGEF7,TEX29,TUBGCP3,AL139384.2,AL139384.1,ATP11A,MCF2L,AL356740.1,MCF2L-AS1,AL356740.2,AL356740.3,F7,F10,KARSP2,AL137002.2,PROZ
PCID2,CUL4A,LAMP1,GRTP1,AL136221.1,GRTP1-AS1,ADPRHL1,DCUN1D2,DCUN1D2-AS,RNU1-16P,TMCO3,AL442125.2,AL442125.1,TFDP1,ATP4B,GRK1,LINC00552,TMEM255B,GAS6-AS1,GAS6
GAS6-AS2,LINC00452,LINC00565,FP565324.1,RASA3,CDC16,MIR548AR,UPF3A,CLCP2,CHAMP1,RPL23AP97,None,None,None,None,None,None,None,None,None
POTEM,DUXAP9,AL589743.4,AL589182.2,AL589743.5,DUXAP10,OR11H7,TTC5,AL356019.2,CCNB1IP1,SNORA79B,PARP2,TEP1,KLHL33,AL355075.5,OSGEP,AL355075.2,APEX1,TMEM55B,PNP
